m_id,me_id,employment_status,eff_dt
21280,176358,Service Start,1999-02-21
44407,137467,Service Start,2009-12-14
87463,158849,Service Start,2001-05-07
1218,159247,Entered Old DROP,2014-12-31
104625,140580,Service Start,2003-06-02
32693,138324,Service Start,1998-08-10
85319,194773,Service Start,1998-11-09
39708,238720,Service Start,2006-01-20
9473,197650,Service Start,2013-06-02
34900,262729,Service Start,2006-10-23
57663,171072,Service Start,2003-02-23
122132,126647,Service Start,2006-04-17
124194,256734,Service Start,2010-09-20
44313,166322,Service Start,2005-07-10
60127,245216,Service Start,2007-07-01
53027,225903,Service Start,1994-05-02
28945,243643,Entered Old DROP,2015-03-02
43551,172055,Service Start,2004-09-06
28664,187442,Service Start,1999-01-04
102835,172838,Service Start,2011-11-04
69582,222282,Service Start,2001-05-28
14272,168672,Service Start,1986-12-21
72638,216762,Service Start,1994-12-25
63832,227139,Service Start,2003-05-12
96085,200793,Service Start,2006-11-13
64968,127256,Service Start,2011-04-04
103562,175175,Service Start,2004-09-04
1231,213535,Entered Old DROP,2016-02-29
102264,208936,Service Start,2002-02-11
73031,135773,Service Start,2005-01-03
27398,167639,Entered Old DROP,2014-08-07
26172,255295,Service Start,2015-07-27
80338,168684,Service Start,1996-11-11
47716,246004,Service Start,2016-12-27
4255,221844,Service Start,2012-10-09
105533,153675,Service Start,2006-07-10
52532,188226,Service Start,2011-04-18
88647,139339,Service Start,2001-02-05
64762,204754,Service Start,1997-10-20
95444,223153,Service Start,2015-03-09
47376,160907,Service Start,2008-04-14
11144,160740,Service Start,2006-07-31
52949,227407,Service Start,2006-06-12
65467,162643,Service Start,1998-10-03
74310,205740,Service Start,2014-07-01
84296,128171,Service Start,1995-01-30
107968,224526,Leave Without Pay,2017-06-25
27981,141289,Service Start,2001-05-14
123889,231356,Service Start,2007-10-15
8940,194718,Service Start,2016-04-04
94154,265647,Service Start,2007-07-01
93224,219642,Service Start,2008-04-07
27713,226154,Service Start,1997-02-17
35693,135987,Service Start,2005-06-06
23000,230516,Service Start,2015-06-01
90613,243800,Service Start,2011-04-11
118152,153877,Entered Old DROP,2014-07-31
124250,241254,Service Start,2013-07-29
20549,194610,Service Start,2007-07-01
119146,206018,Service Start,1997-01-23
29302,135821,Service Start,2000-04-10
5827,164925,Service Start,2008-09-08
47840,265588,Service Start,2000-07-03
69967,134040,Service Start,2002-08-12
18274,180735,Hired - Return to Work,2015-12-06
72276,157622,Service Start,2001-05-26
106775,198419,Service Start,2008-09-08
17443,182000,Service Start,2007-07-01
64043,232125,Service Start,2010-02-22
100026,262707,Service Start,2007-07-01
3624,235039,Service Start,2005-02-27
78374,223834,Service Start,1997-05-19
123315,220152,Service Start,2005-01-02
100359,157364,Service Start,2006-01-09
29285,214053,Service Start,1998-07-23
43781,205706,Service Start,1996-10-28
107769,128627,Service Start,1997-02-27
39370,193176,Service Start,2004-10-25
120749,231174,Service Start,2014-02-10
39981,211039,Service Start,2013-01-22
100916,216251,Service Start,2016-11-21
38130,251548,Service Start,2007-12-17
119763,263882,Service Start,2014-04-14
69929,237933,Service Start,2013-11-04
41811,162375,Entered Old DROP,2014-12-31
48814,147165,Service Start,2006-01-23
56085,151570,Service Start,2013-08-26
12205,232105,Service Start,2015-06-29
1933,173524,Service Start,1997-10-09
119411,146693,Service Start,2017-02-27
94677,237605,Service Start,2002-11-16
25750,249420,Service Start,2007-07-28
97764,245645,Service Start,2011-03-28
49497,221458,Service Start,2001-04-02
122114,164104,Service Start,2009-03-30
90880,188167,Service Start,2012-04-23
12337,138000,Service Start,2007-08-06
67787,138769,Service Start,2010-12-13
92192,186343,Service Start,2001-01-22
71653,246339,Service Start,2007-07-01
69530,180300,Service Start,1991-04-15
80577,153509,Service Start,2007-02-03
44253,212195,Service Start,2011-09-24
101792,171596,Service Start,2017-05-15
32642,233650,Service Start,2005-02-28
108401,180754,Service Start,2003-02-01
99171,209443,Service Start,2015-09-21
86302,266380,Service Start,2006-10-16
109559,224397,Service Start,1999-04-12
54144,241985,Service Start,2016-11-14
7254,214172,Entered Old DROP,2016-09-30
100265,172909,Service Start,2007-09-24
45053,245710,Service Start,1998-10-19
35955,239722,Service Start,2008-04-28
108286,205944,Service Start,2015-01-18
48374,148528,Service Start,2011-06-27
38558,225075,Service Start,2013-10-07
97189,260619,Service Start,2006-10-16
95536,164707,Service Start,2008-02-11
96575,156363,Service Start,2015-10-17
115225,239510,Service Start,2016-06-13
54761,204336,Service Start,2008-04-07
57457,261138,Service Start,2001-11-19
8624,197860,Service Start,2004-03-08
85502,177575,Service Start,2007-01-08
122345,234439,Service Start,2016-05-16
123804,176311,Service Start,1992-09-20
47659,130035,Entered Old DROP,2012-08-31
111511,169647,Service Start,2005-07-11
89570,234069,Service Start,2007-07-01
92952,242764,Service Start,2002-01-21
103466,163234,Service Start,2006-12-16
22413,216568,Service Start,2002-06-29
102459,136200,Service Start,2007-07-01
51142,224638,Entered Old DROP,2013-06-01
93602,144775,Service Start,2015-06-28
64547,157605,Entered Old DROP,2015-04-16
28908,175718,Service Start,2017-02-27
72907,251459,Service Start,2006-06-12
68277,143530,Service Start,2016-02-08
32238,133246,Service Start,2009-09-08
77654,141619,Service Start,2008-04-07
79002,166179,Service Start,2016-09-12
59193,165124,Service Start,1994-06-13
6728,261856,Service Start,1992-12-14
55907,218857,Service Start,2006-06-26
68720,247346,Service Start,2007-06-11
123337,196841,Entered Reverse DROP,2014-10-01
107719,204443,Service Start,2014-03-22
77277,179405,Service Start,2007-08-13
83070,153369,Service Start,2000-10-02
113358,216130,Service Start,2008-05-20
23452,243990,Service Start,2001-05-01
14604,156583,Service Start,1995-06-12
53629,129640,Service Start,2004-09-17
118738,242984,Service Start,2007-04-16
121105,264914,Service Start,2005-04-07
55688,173022,Service Start,2000-10-23
59294,238232,Service Start,2011-09-26
115149,258256,Service Start,2002-05-25
95874,137120,Service Start,2000-01-03
35376,184889,Service Start,2006-05-15
90486,251175,Service Start,2014-08-11
109847,205570,Service Start,2014-05-02
77744,175405,Service Start,1999-04-26
13066,222367,Service Start,2014-01-07
110397,131289,Service Start,2006-09-11
56617,237311,Entered Old DROP,2016-04-16
103384,256617,Service Start,2005-07-01
77723,237516,Service Start,2001-08-02
49298,198408,Service Start,2006-08-20
9214,190581,Service Start,1996-05-13
121830,143367,Service Start,2007-07-01
42963,209333,Service Start,2005-02-14
79258,207096,Service Start,2015-12-21
75537,164776,Service Start,1997-05-19
20120,213234,Service Start,2005-08-13
45282,255367,Service Start,2011-12-12
103858,223776,Service Start,2013-11-08
69853,231530,Service Start,2005-09-11
63196,205707,Service Start,2010-04-05
55466,232436,Service Start,1998-03-16
22644,170147,Service Start,2003-07-07
113912,126972,Service Start,2006-12-11
23956,240467,Entered Old DROP,2017-05-31
90629,252446,Service Start,2012-07-02
1170,176191,Service Start,2014-04-07
11575,255571,Service Start,2011-09-23
73290,163855,Service Start,2010-12-13
111743,165818,Service Start,2014-08-07
24678,246375,Service Start,2001-08-24
3413,226129,Service Start,2014-11-17
92813,216443,Entered Old DROP,2017-05-31
81388,254524,Service Start,2016-06-04
4736,131931,Service Start,1996-07-14
115105,185578,Service Start,2008-02-07
2818,202631,Service Start,1998-10-12
117647,136816,Service Start,2004-10-25
3902,166400,Service Start,2003-05-24
85308,229481,Service Start,2014-03-15
109896,214912,Service Start,2017-05-30
119663,236397,Service Start,2007-09-10
11680,228235,Service Start,2007-09-04
1956,264706,Service Start,2006-05-29
47566,219167,Entered Old DROP,2014-11-12
113235,166130,Service Start,2006-07-31
44232,181106,Service Start,2011-01-10
112818,223114,Service Start,2010-01-29
75817,243394,Service Start,2016-06-06
60726,262202,Service Start,2002-02-19
18963,244099,Service Start,2006-07-17
50095,147383,Service Start,2016-09-19
54269,125789,Service Start,2016-02-29
38545,133699,Service Start,2017-03-06
12971,244319,Service Start,1987-07-06
112578,159634,Service Start,2014-02-24
55792,233432,Service Start,1996-01-18
54038,186040,Service Start,2000-10-15
77350,232862,Service Start,2003-02-10
71754,183395,Hired - Return to Work,2011-07-13
67071,249123,Service Start,1998-08-27
22841,244164,Entered Old DROP,2016-12-21
101697,212862,Entered Old DROP,2016-07-08
13027,197294,Service Start,1998-09-28
28948,148187,Service Start,2005-09-12
45379,228939,Service Start,2013-11-18
49954,199967,Service Start,2003-03-31
106902,242888,Entered Old DROP,2013-02-28
70094,188669,Service Start,1994-05-09
112477,132741,Service Start,2005-07-01
53061,183860,Service Start,2000-09-18
83110,228042,Entered Old DROP,2015-09-29
43783,200410,Entered Old DROP,2015-02-08
101612,160084,Entered Old DROP,2016-12-07
67164,216002,Entered Old DROP,2015-07-31
81755,179111,Service Start,2002-09-23
98353,181978,Service Start,2007-09-17
73414,197248,Service Start,1997-09-01
493,231813,Entered Old DROP,2014-10-31
115521,206965,Service Start,1997-03-10
89931,135437,Service Start,1988-08-20
106252,179298,Service Start,1999-04-11
18,178554,Service Start,1996-08-12
109964,216840,Service Start,2001-09-17
42226,138482,Service Start,2002-07-01
54392,166382,Service Start,2004-12-04
33699,212453,Service Start,2016-09-26
69339,233273,Service Start,2017-05-01
32971,261570,Service Start,2017-04-17
86872,191862,Service Start,1993-05-01
19223,168909,Service Start,2014-09-08
44937,203782,Service Start,1996-10-07
29536,125297,Service Start,2008-01-14
28827,135682,Service Start,2016-10-17
90734,244465,Service Start,2014-02-08
56382,201746,Service Start,2006-03-06
28044,266830,Service Start,1991-02-17
14122,244982,Service Start,2000-02-27
82586,241850,Service Start,2003-10-27
85429,186074,Service Start,2000-07-17
44827,155701,Hired - Return to Work,2014-06-08
46926,151757,Service Start,2007-07-01
77177,166027,Service Start,2000-05-08
12680,152711,Service Start,2015-03-23
26377,263324,Service Start,2008-04-07
115125,168025,Service Start,2014-04-14
49701,246822,Service Start,2009-08-03
118774,188956,Service Start,2007-07-01
57821,220368,Service Start,2016-03-19
26318,150895,Service Start,2012-10-08
105534,225538,Service Start,2008-06-06
6144,150343,Service Start,1999-04-25
53511,131601,Service Start,2004-01-31
63320,229339,Service Start,2016-07-01
52847,253430,Service Start,2010-03-01
122372,175944,Service Start,2011-06-13
7856,167557,Service Start,1994-11-21
46250,219904,Service Start,1997-07-24
111161,130397,Service Start,2010-03-22
10759,205281,Service Start,2006-10-16
124256,126802,Service Start,2005-11-28
40413,231630,Service Start,2008-02-25
106843,205616,Service Start,2011-04-18
68664,184089,Service Start,2007-02-28
78682,170887,Service Start,2001-04-30
70831,200149,Service Start,2017-05-20
45083,171943,Service Start,2005-10-08
10658,259470,Service Start,2012-01-30
93332,228829,Service Start,2007-07-16
43233,195039,Service Start,1995-01-13
107172,165342,Service Start,2005-07-01
46157,195945,Service Start,2008-03-17
3070,218046,Entered Old DROP,2014-11-26
60225,179338,Service Start,2008-12-21
69390,243879,Service Start,2004-05-03
31658,176258,Service Start,2009-11-23
123394,149135,Service Start,2014-11-03
53308,125320,Service Start,1986-07-21
90586,256219,Service Start,2004-02-09
92423,263898,Service Start,2017-05-01
12012,158369,Service Start,1997-01-23
54830,187891,Service Start,2001-12-02
122817,227045,Hired - Return to Work,2016-06-25
47410,233914,Service Start,2001-10-01
6516,208116,Service Start,1995-02-27
32771,200845,Service Start,2001-01-12
70430,170803,Service Start,2008-08-18
89831,174287,Service Start,2002-08-24
14020,170969,Service Start,2008-04-20
121132,206672,Service Start,2011-12-19
10807,255511,Service Start,2005-10-31
30966,154579,Service Start,2010-07-05
61998,146215,Entered Old DROP,2015-06-01
28742,208298,Service Start,2013-04-15
24372,249622,Service Start,2001-11-10
41268,151455,Entered Old DROP,2016-02-01
93647,224859,Service Start,1998-11-22
36361,131422,Service Start,2012-07-23
104791,245139,Service Start,2003-02-24
73098,161380,Service Start,2004-02-16
119730,186976,Service Start,2004-06-07
44001,180691,Service Start,1996-04-08
44723,202174,Entered Old DROP,2015-12-22
51750,238197,Service Start,2004-09-20
43687,164839,Service Start,1988-07-18
21557,247361,Service Start,2013-04-15
78201,159737,Entered Old DROP,2013-12-11
10941,260767,Entered Old DROP,2013-06-28
72855,262432,Service Start,1998-11-01
22985,149241,Entered Old DROP,2015-04-14
91490,144862,Service Start,1998-01-05
117780,163277,Service Start,2006-05-22
66518,185127,Service Start,2016-12-10
105655,222301,Entered Old DROP,2013-12-25
11853,163575,Service Start,1993-01-18
2134,180826,Service Start,1998-09-14
37844,137796,Service Start,2002-08-26
115507,125672,Service Start,2006-01-23
52928,229547,Service Start,2007-01-05
71767,189483,Service Start,2006-11-19
26277,136453,Service Start,2002-04-01
36453,263444,Service Start,2007-07-01
55523,235491,Service Start,2001-02-05
95303,219025,Service Start,1997-07-28
4760,141313,Service Start,2007-07-01
110895,176982,Service Start,1990-10-14
89626,250479,Entered Old DROP,2017-06-30
101415,173902,Service Start,2000-12-03
80419,260007,Service Start,1990-12-10
67847,132780,Service Start,2004-11-08
45335,199413,Service Start,1998-11-22
18587,214365,Entered Old DROP,2017-05-08
94583,151053,Service Start,2005-07-01
98821,221603,Service Start,2001-12-24
90386,209595,Service Start,1995-07-07
28321,250648,Service Start,2007-07-01
7559,234776,Service Start,1998-09-14
29688,221436,Service Start,2003-07-30
39613,153924,Service Start,2001-11-19
97956,246218,Service Start,2007-07-01
120077,142857,Service Start,2008-12-08
30797,173099,Service Start,2013-10-28
39763,153843,Service Start,2008-04-14
59269,206369,Service Start,1999-03-15
95351,237247,Service Start,1994-01-03
4416,127583,Hired - Return to Work,2016-04-22
76995,231369,Entered Old DROP,2017-02-28
8864,201604,Service Start,2017-05-03
117420,263596,Service Start,2002-01-21
80421,153470,Entered Old DROP,2016-10-29
7485,238966,Service Start,2007-07-01
25621,188792,Service Start,2007-07-01
818,256862,Hired - Return to Work,2012-04-27
77625,259369,Entered Old DROP,2014-02-28
119726,246992,Service Start,2006-09-16
85735,133354,Service Start,2016-11-14
5944,234078,Entered Old DROP,2012-12-26
105778,241257,Entered Old DROP,2014-09-03
103280,241202,Service Start,2005-05-31
31552,161149,Service Start,1999-03-06
75939,197184,Hired - Return to Work,2011-08-26
57487,202192,Service Start,2003-03-04
22526,130793,Service Start,2006-04-27
69271,217977,Service Start,2000-04-10
63127,200314,Service Start,2012-09-17
95178,213009,Service Start,2016-07-20
108871,180470,Service Start,1990-07-07
76556,259542,Service Start,2006-06-05
30580,186673,Service Start,2000-01-19
110605,183035,Service Start,2013-06-17
92358,242312,Service Start,2016-08-29
98527,189329,Service Start,2014-10-06
110802,183397,Service Start,2014-09-20
110205,265065,Service Start,1999-03-08
80886,249994,Service Start,2014-07-21
106850,219631,Service Start,2013-03-18
76750,188980,Service Start,2007-09-10
100302,229816,Service Start,2016-04-18
58007,232470,Service Start,2003-03-31
51739,153860,Service Start,2015-02-23
24179,232859,Service Start,2007-07-01
82097,142329,Entered Old DROP,2016-07-01
120307,125280,Service Start,1995-01-16
96361,183884,Service Start,1996-07-29
63070,254850,Service Start,2006-07-03
114138,174409,Entered Old DROP,2014-07-31
73354,262872,Service Start,2007-10-19
102243,190543,Service Start,2013-08-26
118434,135367,Service Start,2015-07-02
45180,194891,Service Start,2005-10-24
13160,131210,Service Start,2007-06-04
107423,256562,Service Start,2017-05-15
81907,146635,Service Start,2002-12-13
12386,154711,Service Start,1998-10-24
106454,150108,Service Start,1993-12-12
71789,265548,Service Start,2013-05-06
78009,235131,Service Start,1999-12-20
66645,225784,Service Start,2013-02-25
74995,256398,Service Start,2006-04-17
7653,150636,Service Start,2000-10-12
30817,154219,Service Start,2002-04-27
56699,189338,Service Start,2007-09-04
97357,182883,Service Start,2000-10-22
39084,241135,Service Start,1998-08-28
49162,217815,Service Start,2012-10-15
26736,172748,Service Start,2006-05-15
83393,207471,Service Start,1997-07-07
109618,161330,Service Start,2008-06-30
53105,160588,Service Start,2015-07-27
109421,138223,Service Start,2008-03-10
52632,266523,Service Start,2003-03-10
99300,205082,Service Start,2005-08-08
32807,242029,Service Start,1997-08-11
53899,183811,Service Start,1999-09-08
109922,232655,Service Start,2007-12-31
79033,152392,Service Start,2014-10-20
51763,232046,Service Start,2007-07-01
119656,139649,Service Start,2014-02-03
9741,149345,Service Start,2013-11-04
120410,180662,Service Start,1996-05-20
109457,253575,Service Start,2007-07-23
88039,205175,Service Start,2008-02-19
120456,249770,Service Start,1998-11-02
46276,176044,Service Start,2008-02-25
84968,158507,Service Start,2013-09-14
110109,150676,Service Start,2016-12-27
29225,184364,Hired - Return to Work,2017-02-27
98262,142071,Service Start,2006-10-16
86716,190768,Service Start,2007-07-01
8690,255119,Service Start,1996-10-27
38218,224187,Service Start,2011-06-13
56051,151344,Service Start,1993-11-29
119229,209286,Service Start,2007-07-01
76597,159018,Service Start,2007-07-01
21898,253116,Service Start,2000-07-06
14208,136870,Entered Old DROP,2015-03-29
58617,251073,Service Start,2007-07-01
40335,253883,Service Start,2016-07-01
38657,219800,Service Start,2013-08-05
117598,143454,Service Start,2000-02-27
12336,214839,Service Start,1994-05-02
27111,137947,Service Start,2005-07-04
46802,189791,Service Start,2013-04-22
94850,193456,Service Start,1990-09-02
41370,139274,Service Start,2008-12-21
67967,137062,Service Start,1991-01-14
54975,136592,Service Start,2005-02-22
16435,258292,Entered Old DROP,2016-01-31
99592,243220,Service Start,1999-07-06
39456,248255,Entered Old DROP,2012-11-28
3717,184026,Service Start,2016-12-03
38945,238556,Service Start,1999-05-03
47349,177218,Service Start,1997-07-21
96497,231391,Service Start,2008-12-08
122381,162228,Service Start,2011-09-21
82446,148725,Service Start,2007-10-29
9245,190850,Service Start,2007-07-01
31390,237499,Service Start,2015-11-09
117901,223923,Service Start,2010-10-22
117743,231296,Service Start,1999-07-19
72336,189536,Service Start,2005-01-17
112778,231573,Entered Old DROP,2017-03-31
72254,236432,Entered Old DROP,2015-06-04
4147,128973,Service Start,2001-01-15
18206,210043,Service Start,2012-09-24
112482,139917,Service Start,2003-12-29
104973,165570,Service Start,2007-01-02
115343,260857,Service Start,2003-03-31
120431,180126,Service Start,2017-02-20
53029,259871,Service Start,1989-09-11
106963,193556,Service Start,2006-07-30
13109,196050,Service Start,1999-05-17
52201,173528,Service Start,2006-03-13
1773,246667,Service Start,2016-01-04
45843,189101,Service Start,1998-03-16
62280,134156,Service Start,2000-01-03
23555,169461,Service Start,2011-11-14
9846,143100,Service Start,2004-08-30
82591,155444,Service Start,1998-07-22
76049,265063,Service Start,1997-11-21
24352,209418,Service Start,1993-10-17
37352,226096,Service Start,2000-02-13
12507,218363,Service Start,2003-03-17
989,237326,Service Start,2017-02-06
16202,252206,Service Start,1994-09-18
5732,153462,Service Start,2012-11-05
106435,255378,Service Start,2013-04-20
99110,139177,Entered Old DROP,2015-10-31
102306,234084,Entered Old DROP,2015-08-08
15292,142874,Service Start,2004-10-25
117955,256208,Service Start,2009-08-17
4497,127388,Entered Old DROP,2016-06-25
121505,196973,Service Start,2004-05-22
59383,160452,Service Start,2004-12-20
79444,197946,Service Start,2007-07-01
92134,137523,Service Start,2002-09-28
4978,243581,Service Start,2006-06-26
21641,178690,Service Start,2012-10-30
80660,147496,Entered Old DROP,2013-06-26
20463,227601,Service Start,2010-04-26
98525,213115,Service Start,2006-07-10
85416,214019,Service Start,1997-01-13
122441,128662,Entered Old DROP,2015-12-05
83575,188285,Service Start,2016-11-21
21441,134348,Service Start,2014-10-06
21069,253979,Service Start,2001-08-17
39371,143276,Service Start,2004-04-18
16777,257435,Service Start,1998-02-09
121090,236485,Service Start,2014-05-19
55727,133051,Service Start,2003-06-09
39406,190705,Service Start,2013-02-11
82430,233086,Service Start,2007-04-23
89328,237078,Service Start,2006-04-17
54173,150096,Service Start,2013-12-09
76696,242382,Service Start,2000-02-14
40219,241207,Service Start,2006-04-10
38566,208628,Service Start,1998-12-21
33877,170866,Service Start,2016-10-03
31252,141050,Service Start,2010-02-22
116102,197604,Service Start,2000-06-05
14707,257180,Service Start,2014-10-13
48186,151411,Service Start,2014-01-21
12775,218028,Service Start,2016-04-11
72459,252487,Service Start,2001-01-08
68321,215310,Service Start,2017-01-02
54589,251542,Service Start,2012-12-03
121048,225212,Service Start,2000-03-24
23032,166953,Service Start,2003-11-17
101717,128852,Service Start,2007-12-17
13202,143005,Service Start,2005-09-06
103878,248589,Service Start,2015-04-15
19749,132962,Service Start,1996-12-23
52368,220870,Service Start,2007-01-29
31763,218321,Service Start,2015-05-18
47599,173302,Service Start,2006-12-05
502,175925,Service Start,2006-07-08
69220,167059,Hired - Return to Work,2016-10-02
83599,162312,Service Start,2017-01-03
114935,220295,Service Start,2003-01-13
90020,243613,Service Start,2003-03-31
6510,126364,Service Start,2012-12-31
108464,182366,Service Start,2016-02-27
81456,160697,Service Start,1997-09-15
22550,125881,Service Start,2001-12-31
67882,150301,Service Start,2015-08-31
111964,133597,Service Start,2004-01-26
5560,170365,Service Start,2008-06-06
29930,146767,Service Start,2011-02-07
45027,215584,Service Start,2007-11-02
51652,157567,Service Start,2011-11-04
3960,193804,Service Start,2005-12-03
40721,261980,Service Start,2016-08-22
86738,187941,Service Start,1999-07-08
22222,261973,Service Start,1999-06-07
76451,228706,Service Start,1996-04-01
68022,236359,Service Start,2007-10-15
19701,266138,Service Start,2013-01-22
82142,220232,Service Start,1998-10-24
61683,153665,Service Start,2007-07-01
48383,131465,Service Start,2013-04-06
79622,242505,Service Start,2014-06-16
70714,209154,Service Start,2016-04-04
5410,234419,Service Start,1997-12-15
108500,144089,Service Start,2006-04-27
37073,172018,Service Start,2012-02-27
116796,131892,Service Start,2015-07-06
90186,160310,Service Start,2014-08-08
69447,180785,Service Start,2008-09-22
108280,224968,Service Start,1992-09-20
22335,216308,Service Start,1995-01-19
20038,126782,Service Start,2012-12-31
1580,230508,Service Start,2015-11-09
62993,124831,Service Start,2015-10-05
45001,255101,Service Start,2007-07-16
79594,205211,Service Start,2000-07-31
1288,161375,Service Start,2011-03-25
120942,183437,Entered Old DROP,2016-11-12
108700,194811,Service Start,2011-10-11
7666,211521,Entered Old DROP,2015-06-01
70720,139704,Service Start,2015-12-12
42630,156899,Service Start,2008-01-01
15519,231086,Entered Old DROP,2015-01-31
76814,147296,Service Start,2007-07-01
64107,265698,Service Start,1994-12-23
77255,210143,Service Start,2013-04-06
24182,208362,Entered Old DROP,2012-12-26
44417,126638,Service Start,2010-10-18
52974,228492,Service Start,2000-06-12
123805,209116,Service Start,2003-04-07
107163,203486,Service Start,1998-07-05
26294,149006,Service Start,1991-12-09
90811,266003,Service Start,2005-07-04
63970,138550,Service Start,2017-04-24
2436,251935,Service Start,1999-07-26
1486,260512,Entered Old DROP,2014-01-05
90467,238262,Service Start,2007-07-14
5241,178465,Service Start,2006-07-22
46279,255688,Service Start,2005-07-01
40651,219330,Service Start,2014-04-07
64969,205642,Service Start,2002-01-14
25342,247406,Service Start,2002-09-09
61865,156469,Entered Old DROP,2014-06-30
69753,183072,Service Start,2000-11-26
926,201656,Service Start,2011-08-22
27298,157029,Service Start,1999-04-25
120367,178034,Service Start,2007-07-01
61717,164254,Service Start,2007-11-05
86721,232124,Entered Old DROP,2013-04-26
65712,213132,Hired - Return to Work,2016-08-26
71089,134479,Service Start,1998-12-01
112606,177275,Service Start,2008-04-28
10447,226224,Service Start,2009-05-11
32037,163236,Service Start,2007-07-01
98288,227584,Service Start,2011-04-25
20867,241701,Service Start,1999-12-17
92782,156823,Service Start,2002-10-21
79700,126266,Service Start,2005-08-22
9694,156396,Service Start,2009-01-14
36822,202088,Service Start,2016-01-04
52241,204309,Service Start,1997-12-08
41379,205787,Service Start,2002-11-18
36443,266713,Service Start,2002-08-05
34258,222718,Service Start,1996-09-16
31989,251055,Service Start,2006-04-29
32961,242935,Service Start,1994-06-27
21305,202698,Service Start,2001-07-01
111159,154053,Service Start,2017-02-06
24029,250819,Service Start,2014-06-19
66223,200293,Service Start,2012-12-17
78168,180505,Service Start,2007-07-01
70733,248811,Service Start,2017-06-19
17930,234116,Service Start,2010-02-10
88992,160005,Service Start,2006-01-04
90774,130859,Service Start,1992-01-12
46196,205605,Hired - Return to Work,2011-07-10
64267,237155,Service Start,2001-10-22
52934,229337,Service Start,1994-07-05
73922,255785,Service Start,1995-06-26
105996,264999,Service Start,2001-11-05
54083,151237,Service Start,2010-04-05
90621,260215,Service Start,2008-02-01
7659,128769,Service Start,1991-12-21
26985,262014,Entered Old DROP,2015-09-19
119031,157250,Service Start,1999-08-02
91564,167787,Service Start,2003-01-11
120116,166498,Service Start,2007-07-01
55444,214509,Entered Old DROP,2012-12-28
90943,221847,Service Start,2009-08-24
48390,218151,Service Start,1997-05-19
40884,171862,Entered Old DROP,2016-06-12
96376,251561,Service Start,2007-07-01
101360,168320,Service Start,1999-01-11
106627,129536,Service Start,2013-12-14
32021,226840,Service Start,2010-07-01
70057,240949,Service Start,2009-06-29
31029,192581,Entered Old DROP,2013-03-08
40592,221627,Service Start,1998-12-07
32624,188855,Entered Old DROP,2016-04-30
101021,217437,Service Start,2016-03-28
26951,173047,Service Start,2010-12-20
81042,226227,Service Start,1997-03-30
47524,137584,Service Start,2005-07-01
76682,206271,Service Start,2013-01-02
27304,224713,Service Start,2007-08-20
53491,230587,Service Start,2007-12-15
99897,175899,Service Start,2004-04-15
84692,168379,Service Start,2016-09-12
11687,191960,Service Start,1999-12-09
59216,159725,Service Start,2003-01-11
108644,174827,Service Start,2008-07-16
99369,133435,Service Start,2005-02-07
105950,252430,Service Start,2005-08-22
980,203224,Service Start,2002-12-12
45631,258243,Service Start,2015-08-08
60075,234290,Service Start,2016-01-04
62414,257175,Service Start,2005-12-19
83866,245031,Service Start,2010-01-04
58970,198568,Service Start,2007-10-26
103957,183640,Service Start,1999-03-29
80920,173835,Service Start,2012-01-30
97722,225337,Service Start,2016-10-31
87229,165463,Service Start,2008-04-10
12817,166313,Service Start,2016-12-05
29022,155868,Service Start,2015-08-03
21817,166509,Service Start,2008-03-24
17254,238554,Service Start,2017-05-30
61132,150291,Service Start,2017-05-29
5292,164066,Service Start,2016-07-20
59586,217460,Service Start,2004-09-20
32697,254845,Service Start,2016-08-08
46243,247590,Service Start,2017-05-15
63884,164423,Service Start,2012-03-05
101568,137181,Service Start,2013-01-07
116559,253424,Service Start,2016-12-05
11892,257847,Service Start,2010-01-11
67063,248705,Service Start,2016-11-14
52240,213503,Service Start,2015-10-19
27723,145182,Service Start,2015-02-02
30117,175401,Service Start,2016-10-03
42430,182873,Service Start,2017-03-15
111053,224880,Service Start,2017-02-13
112713,213726,Service Start,2010-11-29
97391,153757,Service Start,2015-11-02
40087,172708,Service Start,2005-02-14
33538,200670,Service Start,2007-07-01
124412,239719,Service Start,2011-10-31
35682,261308,Service Start,2016-07-11
11628,261934,Service Start,2014-12-15
34519,225675,Service Start,2015-12-14
72048,181385,Service Start,2017-03-06
27380,162524,Service Start,2014-10-02
59671,223382,Service Start,2013-01-14
78244,219482,Service Start,2013-03-15
78504,149431,Service Start,2016-11-14
3131,193039,Service Start,2017-05-15
123258,230847,Service Start,2016-06-27
35581,176134,Service Start,2016-10-31
65119,160986,Service Start,2017-06-19
87983,255929,Service Start,2017-06-29
121995,142332,Service Start,2017-06-30
40178,224199,Service Start,2017-07-01
71598,229405,Service Start,2017-07-01
53405,221103,Service Start,2017-07-01
119593,158946,Service Start,2017-07-01
121504,190043,Service Start,2017-07-01
99383,174205,Service Start,2017-07-01
42556,149311,Entered Old DROP,2017-07-01
20228,208202,Entered Old DROP,2017-07-01
44596,160973,Service Start,2017-06-19
47203,210587,Service Start,2017-06-20
9343,264275,Service Start,2017-06-19
7615,235335,Service Start,2017-06-19
38223,199312,Service Start,2017-06-26
27572,143080,Service Start,2017-06-20
58790,237922,Service Start,2017-06-26
76873,170351,Service Start,1987-12-30
75220,216269,Service Start,2017-06-19
19759,220926,Service Start,2017-06-12
90750,143217,Service Start,2014-06-23
