m_id,me_id,employment_status,eff_dt
14243,247584,Service Start,2015-07-20
57628,265351,Service Start,2007-10-09
101470,175330,Service Start,2013-03-04
35764,229880,Service Start,2007-03-19
37940,124793,Service Start,2015-10-05
36234,190237,Leave Without Pay,2017-07-01
20523,140249,Service Start,2015-10-19
59644,206707,Service Start,2016-06-29
27708,246077,Service Start,2015-04-17
29125,176562,Service Start,2006-09-11
11636,263129,Service Start,2016-01-08
91195,228481,Service Start,2016-05-02
12970,155551,Service Start,2010-08-16
40746,232900,Service Start,2010-12-13
36885,181413,Service Start,2014-05-12
49692,130673,Service Start,2013-11-04
42499,264306,Service Start,2012-09-24
28331,182968,Service Start,2016-09-30
85315,142859,Service Start,2015-07-13
52541,255583,Service Start,2012-04-23
21803,191551,Service Start,2011-10-24
24259,260360,Service Start,2012-01-03
33502,229734,Service Start,2013-01-07
59316,206757,Service Start,2013-10-07
18242,125343,Leave Without Pay,2015-04-06
35822,258291,Service Start,2016-09-12
12489,154735,Service Start,2015-10-12
97906,171086,Service Start,2016-05-02
86834,199357,Service Start,2011-10-24
44908,155922,Service Start,2017-03-27
41878,252181,Service Start,2014-07-07
66668,168884,Service Start,2017-05-22
49613,141131,Service Start,2017-03-15
100763,190211,Service Start,2017-06-29
74570,203653,Service Start,2017-07-01
19093,191535,Service Start,2017-07-01
8019,243898,Service Start,2017-07-01
32210,245021,Service Start,2017-07-01
100131,206058,Service Start,2017-07-01
27145,203072,Service Start,2017-07-01
124052,149147,Service Start,2017-07-01
115673,233456,Service Start,2017-07-01
61885,202318,Service Start,2017-07-01
96174,168162,Service Start,2017-06-20
75701,259700,Service Start,2017-06-20
31775,130260,Service Start,1994-09-18
34634,172096,Service Start,2017-06-19
2478,187147,Service Start,2016-06-06
21007,234460,Service Start,2017-03-27
87276,186822,Service Start,2017-06-26
89246,199412,Service Start,2015-01-20
82743,222623,Service Start,2017-05-22
112416,135217,Hired - Return to Work,2014-02-14
10948,211981,Hired - Return to Work,2014-07-18
74158,233330,Hired - Return to Work,2011-07-22
26305,137454,Service Start,2013-04-29
848,230889,Service Start,1996-09-09
62057,147189,Entered Old DROP,2016-07-31
67944,207607,Service Start,2001-04-29
62548,142732,Service Start,1998-08-10
47792,159256,Service Start,2008-08-18
97987,251087,Service Start,2013-02-19
